category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
frontend_gui,CGuiObject::SetUserData2Recursive,,GPROC32,eu3minimap.obj,0x008995C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=14
frontend_gui,CGuiObject::SetUserData2Recursive,,GPROC32,eu3minimap.obj,0x008995B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=14
frontend_gui,CGuiObject::HasGUIObject,,GPROC32,eu3minimap.obj,0x00899590,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=15
frontend_gui,CGuiObject::MoveToGuiFront,,GPROC32,eu3minimap.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::SetEnableSound,,GPROC32,eu3minimap.obj,0x00899580,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=13
frontend_gui,CGuiObject::MoveToBack,,GPROC32,eu3minimap.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::GetName,,GPROC32,eu3minimap.obj,0x00D8DEC0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=10
frontend_gui,CGuiObject::SetUserDataRecursive,,GPROC32,eu3minimap.obj,0x008995A0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=13
frontend_gui,CList<CButton *>::~CList<CButton *>,,GPROC32,eventwindow.obj,0x00D2A350,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=47
frontend_gui,CScrollbarObserverGlue<CFrontEnd>::OnValueChange,,GPROC32,frontend.obj,0x00770230,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CScrollbarObserverGlue<CFrontEnd>::OnScrollReleased,,GPROC32,frontend.obj,0x00CFAA60,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnRightClick,,GPROC32,frontend.obj,0x006CFDE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnClick,,GPROC32,frontend.obj,0x006C91D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnDblClick,,GPROC32,frontend.obj,0x00933DE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnDblClick,,GPROC32,frontend.obj,0x006C91B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnOver,,GPROC32,frontend.obj,0x008E9FE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
